name,brand,days,deliver_way,discount,category,sub_category,price,user_type,user_city,user_province,user_area,profit,sell_num,label
"Acco 孔加固材料, 回收",Acco,5,标准级,0.4,办公用品,装订机,19.666666666666668,消费者,内江,四川,西南,-0.64,2,0
"Ibico 孔加固材料, 回收",Ibico,5,标准级,0.0,办公用品,装订机,34.25,消费者,内江,四川,西南,0.34,2,0
"Wilson Jones 订书机, 实惠",Wilson Jones,4,标准级,0.4,办公用品,装订机,137.0,消费者,景德镇,江西,华东,0.05,2,0
"Harbour Creations 扶手椅, 可调",Harbour Creations,6,标准级,0.4,家具,椅子,1333.0,消费者,景德镇,江西,华东,0.08,4,0
"Eaton 计划信息表, 多色",Eaton,4,二级,0.0,办公用品,纸张,102.5,消费者,景德镇,江西,华东,0.25,5,0
"Advantus 橡皮筋, 整包",Advantus,5,标准级,0.0,办公用品,系固件,77.5,消费者,景德镇,江西,华东,0.33,2,0
"Hewlett 墨水, 红色",Hewlett,4,标准级,0.0,技术,复印机,685.5,消费者,哈尔滨,黑龙江,东北,0.41,4,0
"Brother 墨水, 红色",Brother,4,二级,0.0,技术,复印机,679.0,消费者,哈尔滨,黑龙江,东北,0.21,4,0
"Kraft 局间信封, 银色",Kraft,5,标准级,0.0,办公用品,信封,230.0,消费者,青岛,山东,华东,0.22,3,0
"Cameo 局间信封, 银色",Cameo,5,标准级,0.0,办公用品,信封,233.0,消费者,青岛,山东,华东,0.33,3,0
"摩托罗拉 充电器, 蓝色",摩托罗拉,2,一级,0.0,技术,电话,2999.25,消费者,青岛,山东,华东,0.11,2,0
"思科 充电器, 蓝色",思科,4,标准级,0.0,技术,电话,3040.0,消费者,青岛,山东,华东,0.04,2,0
"Avery 圆形标签, 红色",Avery,2,二级,0.0,办公用品,标签,32.333333333333336,公司,徐州,江苏,华东,0.2,3,0
"SanDisk 键盘, 实惠",SanDisk,5,标准级,0.0,技术,配件,380.2,消费者,上海,上海,华东,0.15,7,0
