brand,days,discount,category,sub_category,price,user_type,user_city,profit,sell_num,label
1,5,0,1,1,0,0,550000,2,0,0
2,5,1,1,1,0,0,550000,0,0,0
3,4,0,1,1,0,0,330000,0,0,0
4,6,0,3,2,2,0,330000,0,2,0
5,4,1,1,3,0,0,330000,0,2,0
6,5,1,1,4,0,0,330000,0,0,0
7,4,1,2,5,2,0,220000,0,2,0
8,4,1,2,5,2,0,220000,0,2,0
9,5,1,1,6,0,0,331000,0,0,0
10,5,1,1,6,0,0,331000,0,0,0
11,2,1,2,7,1,0,331000,0,0,0
12,4,1,2,7,1,0,331000,0,0,0
13,2,1,1,8,0,2,332000,0,0,0
14,5,1,2,9,0,0,333000,0,1,0
15,6,0,2,9,0,0,333000,2,1,0
16,0,0,1,10,0,0,333000,2,0,0
1,4,1,1,1,0,0,333000,0,2,0
3,5,1,1,1,0,0,333000,0,2,0
13,5,1,1,1,0,0,333000,0,2,0
1,5,0,1,1,0,0,333000,0,2,0
11,6,1,2,7,0,0,333000,0,1,0
17,3,0,3,11,0,2,334000,0,2,0
18,4,0,3,2,0,2,334000,0,0,0
19,2,1,1,4,0,2,334000,0,2,0
14,7,1,2,9,2,2,334000,0,0,0
15,6,1,2,9,2,2,334000,0,0,0
20,3,1,3,12,0,2,334000,0,0,0
1,2,0,1,1,0,0,333000,2,2,0
13,5,0,1,1,0,0,333000,0,2,0
21,4,1,1,13,2,2,110000,0,0,0
22,6,1,1,13,2,2,110000,0,0,0
22,6,1,1,13,2,2,110000,0,0,0
23,1,1,1,13,2,2,110000,0,0,0
24,2,0,3,2,0,2,110000,0,2,0
24,2,0,3,2,0,2,110000,0,2,0
25,4,1,3,2,0,2,110000,0,2,0
26,6,1,3,11,2,2,334001,0,2,0
27,1,2,1,14,0,2,335000,1,0,0
28,3,1,1,14,0,2,335000,0,0,0
5,2,1,1,3,0,0,336000,0,2,0
21,4,1,1,13,0,0,336000,0,0,0
22,2,1,1,13,2,1,330001,0,0,0
29,5,1,1,13,2,1,330001,0,0,0
1,4,1,1,1,0,0,336001,0,2,0
30,7,1,1,1,0,0,336001,0,2,0
11,6,1,2,7,1,2,550000,0,0,0
31,1,1,2,7,1,2,550000,0,0,0
9,1,1,1,6,0,2,550000,0,0,0
32,4,0,2,5,2,0,221000,0,0,0
32,4,0,2,5,2,0,221000,0,0,0
33,3,0,1,15,1,0,331000,2,2,0
23,2,1,1,13,0,0,331000,0,0,0
29,2,1,1,13,0,0,331000,0,0,0
34,5,1,1,10,0,0,222000,0,2,0
6,3,1,1,4,0,0,222000,0,0,0
35,6,1,3,11,1,2,330000,0,0,0
17,5,0,3,11,2,2,330000,2,0,0
7,2,1,2,5,1,2,331000,0,0,0
36,4,1,2,16,0,0,332000,0,1,0
37,3,1,2,16,2,2,331001,0,2,0
18,5,1,1,8,0,0,331001,0,2,0
35,5,0,3,11,0,1,111000,0,0,0
38,5,1,2,7,2,2,551000,0,0,0
12,4,1,2,7,1,2,551000,0,0,0
13,6,1,1,8,0,0,660000,0,0,0
4,4,1,1,8,0,0,660000,0,0,0
29,0,1,1,8,0,0,660000,0,0,0
39,1,1,1,6,0,0,333000,0,1,0
40,5,1,1,8,0,2,661000,0,2,0
20,4,1,3,12,2,0,550001,0,2,0
30,2,0,1,1,0,0,660001,2,0,0
23,4,1,1,13,0,0,660001,0,0,0
23,4,1,1,13,0,0,660001,0,0,0
23,6,1,1,13,0,0,660001,0,0,0
41,3,1,1,13,0,0,660001,0,0,0
34,1,0,1,10,0,0,332001,0,0,0
25,6,1,3,2,0,0,332001,0,2,0
42,3,0,1,4,0,0,332001,2,2,0
19,3,0,1,4,0,0,332001,2,2,0
6,4,1,1,4,0,0,332001,0,2,0
43,5,0,1,14,0,0,332001,0,0,0
44,5,1,2,16,2,2,333000,0,2,0
45,4,1,1,10,0,1,112000,0,0,0
30,2,1,1,1,0,1,112000,0,0,0
30,2,1,1,1,0,1,112000,0,0,0
6,5,0,3,12,0,1,112000,2,1,0
46,2,1,2,5,2,2,332000,0,2,0
32,6,1,2,5,2,2,332000,0,2,0
8,4,0,2,5,2,2,332000,2,2,0
14,5,1,1,3,0,0,332002,0,0,0
30,3,0,1,1,0,2,111000,2,0,0
2,0,1,1,1,0,2,332003,0,0,0
39,5,1,1,6,0,0,332004,0,2,0
9,3,1,1,6,0,0,332004,0,0,0
40,4,1,3,2,2,0,334002,0,0,0
24,6,1,3,2,2,0,334002,0,0,0
47,2,0,2,5,0,2,332001,2,2,0
14,5,1,2,9,0,0,222000,0,2,0
48,2,1,2,9,0,0,222000,0,2,0
3,6,1,1,1,0,0,222000,0,1,0
40,5,1,1,8,0,1,331002,0,1,0
2,3,1,1,1,0,0,551000,0,2,0
