name,deliver_time,discount,deliver_way,category,sub_category,maker,profit,sell_count
"Fiskars 剪刀, 蓝色",3.727272727272727,0.14545454545454548,3.3636363636363638,1,1,1,-0.09454545454545454,4.454545454545454
"GlobeWeis 搭扣信封, 红色",4.25,0.0,3.5,1,2,2,0.34,2.75
"Cardinal 孔加固材料, 回收",4.0,0.16666666666666666,3.5,1,3,3,0.33416666666666667,4.333333333333333
"Kleencut 开信刀, 工业",2.25,0.30000000000000004,2.5,1,1,4,0.027499999999999986,2.75
"KitchenAid 搅拌机, 黑色",2.5714285714285716,0.1142857142857143,2.7142857142857144,1,4,5,0.2857142857142857,3.4285714285714284
"柯尼卡 打印机, 红色",4.5,0.1,4.0,2,5,6,0.23000000000000004,5.5
"Ibico 订书机, 实惠",3.5555555555555554,0.2222222222222222,3.2222222222222223,1,3,7,0.1211111111111111,2.6666666666666665
"SAFCO 扶手椅, 可调",4.125,0.1125,3.125,3,6,8,0.18500000000000003,4.125
"Green Bar 计划信息表, 多色",4.0,0.0,4.0,1,7,9,0.08,4.0
"Stockwell 橡皮筋, 整包",4.6,0.08,3.8,1,8,10,0.082,3.2
"爱普生 计算器, 耐用",4.333333333333333,0.0,3.6666666666666665,2,5,11,0.01,4.0
"惠普 墨水, 红色",4.571428571428571,0.1142857142857143,3.7142857142857144,2,9,12,0.13000000000000003,3.142857142857143
"Jiffy 局间信封, 银色",4.428571428571429,0.0,4.0,1,2,13,0.13,4.571428571428571
"SanDisk 键区, 可编程",3.6666666666666665,0.0,3.6666666666666665,2,10,14,0.26,3.6666666666666665
"诺基亚 充电器, 蓝色",3.4,0.16,3.2,2,11,15,0.33999999999999997,1.8
"KitchenAid 冰箱, 黑色",4.125,0.25,3.25,1,4,5,-0.17375,3.625
"Novimex 圆形标签, 红色",3.75,0.0,3.0,1,12,16,0.45,2.75
"Memorex 键盘, 实惠",4.166666666666667,0.13333333333333333,3.6666666666666665,2,10,17,0.34,4.5
"Acme 尺子, 工业",3.2857142857142856,0.17142857142857146,3.2857142857142856,1,1,18,0.07428571428571429,4.142857142857143
"Avery 孔加固材料, 耐用",4.111111111111111,0.13333333333333336,3.5555555555555554,1,3,19,-0.19999999999999998,3.111111111111111
"Cardinal 装订机, 回收",2.6666666666666665,0.13333333333333333,3.0,1,3,3,0.17,4.0
"三星 办公室电话机, 整包",3.25,0.0,3.0,2,11,20,0.45,4.75
"Hewlett 传真机, 数字化",3.6666666666666665,0.13333333333333333,3.0,2,9,21,0.09666666666666668,4.166666666666667
"Elite 开信刀, 工业",3.3333333333333335,0.06666666666666667,3.0,1,1,22,0.37833333333333335,4.0
"Sauder 书架, 金属",5.285714285714286,0.17142857142857146,3.857142857142857,3,13,23,0.011428571428571418,3.4285714285714284
"Office Star 摇椅, 可调",5.333333333333333,0.11666666666666665,3.5,3,6,24,0.33666666666666667,2.8333333333333335
"OIC 图钉, 金属",5.285714285714286,0.2285714285714286,3.7142857142857144,1,8,25,0.09857142857142856,2.4285714285714284
"Accos 图钉, 混合尺寸",4.75,0.2,3.0,1,8,26,0.010000000000000009,6.0
"罗技 路由器, 实惠",4.333333333333333,0.26666666666666666,3.0,2,10,27,0.09000000000000001,1.0
"Tenex 灯泡, 黑色",4.0,0.13333333333333333,3.3333333333333335,3,14,28,0.20333333333333334,1.6666666666666667
"Wilson Jones 标签, 回收",3.5,0.0,3.1666666666666665,1,3,29,0.46,4.0
"Fellowes 文件车, 金属",5.166666666666667,0.0,3.8333333333333335,1,15,30,0.46,2.8333333333333335
"Harbour Creations 椅垫, 可调",3.5384615384615383,0.13846153846153847,3.230769230769231,3,6,31,0.3492307692307693,3.6923076923076925
"Dania 书架, 白色",2.75,0.1,2.25,3,13,32,0.05500000000000001,4.5
"Advantus 灯泡, 耐用",3.1666666666666665,0.06666666666666667,3.0,3,14,33,-0.11166666666666668,3.3333333333333335
"Boston 画布, 蓝色",3.75,0.15,3.25,1,16,34,-0.36,3.25
"Green Bar 笔记本, 优质",3.8,0.0,3.6,1,7,9,0.48,5.4
"Smead 盘, 工业",2.8,0.0,3.0,1,15,35,0.34,3.2
"Lesro 培训桌, 长方形",3.6666666666666665,0.25,3.3333333333333335,3,17,36,-0.23,3.0
