maker,deliver_time,discount,category,sub_category,price,deliver_way,main_user,area_div,province_div,city_div,profit_money,profit
1,3.727272727272727,0.1454545454545454,1,1,1,3.363636363636364,100,0,0,2,-21.09090909090909,-0.0945454545454545
2,4.25,0.0,1,2,1,3.5,100,2,1,0,58.75,0.34
3,4.0,0.1666666666666666,1,3,1,3.5,101,0,0,2,36.41666666666666,0.3341666666666666
4,2.25,0.3,1,1,1,2.5,1,2,1,0,34.75,0.0274999999999999
5,2.571428571428572,0.1142857142857143,1,4,4,2.7142857142857144,101,0,0,0,497.8571428571428,0.2857142857142857
6,4.5,0.1,2,5,0,4.0,101,0,0,2,1941.25,0.23
7,3.555555555555556,0.2222222222222222,1,3,1,3.2222222222222223,1,0,1,0,81.0,0.1211111111111111
8,4.125,0.1125,3,6,2,3.125,100,0,0,2,1766.625,0.185
9,4.0,0.0,1,7,1,4.0,100,2,0,2,37.5,0.08
10,4.6,0.08,1,8,1,3.8,1,2,1,0,31.4,0.082
11,4.333333333333333,0.0,2,5,1,3.6666666666666665,110,2,0,2,8.333333333333334,0.01
12,4.571428571428571,0.1142857142857143,2,9,4,3.7142857142857135,100,0,0,0,265.85714285714283,0.13
13,4.428571428571429,0.0,1,2,1,4.0,100,0,0,2,135.14285714285714,0.13
14,3.6666666666666665,0.0,2,10,1,3.6666666666666665,100,0,0,2,252.66666666666663,0.26
15,3.4,0.16,2,11,2,3.2,1,2,1,1,1614.4,0.3399999999999999
5,4.125,0.25,1,4,2,3.25,100,0,0,2,-698.5,-0.17375
16,3.75,0.0,1,12,1,3.0,100,0,1,0,35.0,0.45
17,4.166666666666667,0.1333333333333333,2,10,1,3.6666666666666665,101,0,0,2,577.6666666666666,0.34
18,3.2857142857142856,0.1714285714285714,1,1,1,3.2857142857142856,100,0,0,2,16.285714285714285,0.0742857142857142
19,4.111111111111111,0.1333333333333333,1,3,1,3.555555555555556,100,0,1,0,-11.0,-0.1999999999999999
3,2.6666666666666665,0.1333333333333333,1,3,1,3.0,100,0,0,2,49.333333333333336,0.17
20,3.25,0.0,2,11,1,3.0,101,0,0,2,650.75,0.45
21,3.6666666666666665,0.1333333333333333,2,9,0,3.0,100,0,0,2,720.5,0.0966666666666666
22,3.333333333333333,0.0666666666666666,1,1,1,3.0,11,0,0,2,156.66666666666666,0.3783333333333333
23,5.285714285714286,0.1714285714285714,3,13,4,3.857142857142857,1,0,0,2,187.28571428571428,0.0114285714285714
24,5.333333333333333,0.1166666666666666,3,6,4,3.5,1,0,1,0,592.1666666666666,0.3366666666666666
25,5.285714285714286,0.2285714285714286,1,8,1,3.7142857142857135,1,2,1,0,14.428571428571429,0.0985714285714285
26,4.75,0.2,1,8,1,3.0,101,0,0,2,28.5,0.01
27,4.333333333333333,0.2666666666666666,2,10,0,3.0,1,1,2,1,119.0,0.09
28,4.0,0.1333333333333333,3,14,1,3.333333333333333,101,1,2,1,28.0,0.2033333333333333
29,3.5,0.0,1,3,1,3.1666666666666665,101,0,0,2,58.16666666666666,0.46
30,5.166666666666667,0.0,1,15,4,3.8333333333333335,1,2,1,0,829.0,0.46
31,3.5384615384615383,0.1384615384615384,3,6,1,3.230769230769231,101,0,0,2,400.38461538461536,0.3492307692307693
32,2.75,0.1,3,13,4,2.25,1,0,0,2,263.25,0.055
33,3.1666666666666665,0.0666666666666666,3,14,1,3.0,100,0,0,0,-16.0,-0.1116666666666666
34,3.75,0.15,1,16,1,3.25,1,0,1,0,-7.375,-0.36
9,3.8,0.0,1,7,1,3.6,101,0,0,2,359.8,0.48
35,2.8,0.0,1,15,1,3.0,110,0,0,0,248.2,0.34
36,3.6666666666666665,0.25,3,17,0,3.333333333333333,1,2,1,0,-634.0,-0.23
14,3.0,0.0,1,7,1,2.0,1,2,1,0,108.0,0.37
37,4.8,0.24,1,4,2,4.0,110,0,0,2,737.6,-0.0239999999999999
30,3.75,0.0,1,15,4,3.5,110,0,0,2,0.0,0.0
38,4.0,0.4,1,16,1,3.2,10,0,0,0,-31.6,-1.186
7,3.555555555555556,0.0888888888888888,1,3,1,3.333333333333333,100,0,0,2,172.11111111111111,0.2422222222222222
34,4.5,0.4666666666666667,1,16,1,3.8333333333333335,1,2,1,0,-279.6666666666667,-1.93
39,4.636363636363637,0.0,1,2,1,3.636363636363636,110,0,0,2,313.3636363636364,0.42
40,4.5,0.1,2,11,2,3.75,100,2,1,0,-76.25,-0.0374999999999999
21,3.6666666666666665,0.2666666666666666,2,9,0,3.333333333333333,101,0,0,2,454.0,0.15
28,4.25,0.0,1,15,1,3.25,100,2,0,2,477.25,0.44
41,3.0,0.2666666666666666,1,4,2,3.333333333333333,101,0,0,2,370.3333333333333,-0.04
41,4.444444444444445,0.0444444444444444,1,4,1,3.6666666666666665,101,0,0,0,113.11111111111111,0.0977777777777777
42,2.6666666666666665,0.0,1,15,1,2.888888888888889,1,0,0,0,206.11111111111111,0.48
18,3.8461538461538463,0.0923076923076923,1,1,1,3.230769230769231,100,0,0,0,34.07692307692308,0.043076923076923
10,3.8333333333333335,0.1666666666666666,1,8,1,3.083333333333333,101,0,0,2,-24.916666666666668,-0.19
26,4.142857142857143,0.2285714285714286,1,8,1,3.7142857142857135,100,0,1,2,-14.0,-0.1085714285714285
32,4.6,0.24,3,13,2,3.6,101,2,1,0,-62.0,-0.092
35,4.75,0.0,1,15,4,3.25,1,2,1,0,597.625,0.38
43,4.666666666666667,0.1333333333333333,2,9,0,3.333333333333333,101,0,1,0,1329.3333333333333,0.2533333333333333
44,2.6666666666666665,0.0,2,5,1,2.0,100,2,1,2,173.66666666666666,0.12
31,4.6,0.0,1,12,1,3.6,110,0,0,2,100.4,0.48
10,3.7,0.08,1,8,1,3.1,101,0,0,0,53.5,0.288
45,2.75,0.1,2,5,0,3.0,1,0,0,2,47.5,-0.0725
46,4.0,0.2,1,4,0,3.4,101,0,0,2,-594.2,-0.16
47,1.0,0.2,1,16,1,1.0,100,2,1,0,-37.0,-0.08
9,1.0,0.0,1,7,1,1.0,100,2,1,0,23.0,0.06
14,4.0,0.0,2,10,0,3.0,11,1,1,0,726.3333333333334,0.26
35,4.25,0.0,1,12,1,3.25,100,2,0,2,97.5,0.5
48,4.166666666666667,0.0,1,2,1,3.5,100,0,0,2,112.5,0.43
49,2.5,0.1,3,13,4,2.0,110,2,1,0,-113.0,-0.0375
20,2.6666666666666665,0.1333333333333333,2,11,4,3.333333333333333,1,0,0,2,1021.0,0.29
